method,estimated_β,iterations,fevals,time
BFGS (numerical),"[2.533905445049512, -0.03225530603493217, 0.11569844170426487, -0.3540371379893609, 0.07982824761107384, -0.4094427246723386]",18,104,0.099104708
BFGS (analytical),"[2.533905281689928, -0.0322552974983272, 0.11569843180024711, -0.3540371395010639, 0.07982824191847386, -0.4094427239092004]",15,92,0.038826417
Nelder-Mead,"[2.5339014771541692, -0.03225537174807412, 0.11569857858474339, -0.3540359087242927, 0.07982798904201631, -0.4094415617875796]",408,660,0.010644958
BHHH,"[2.5339045368992146, -0.032255277557904076, 0.11569841358715813, -0.35403714573637357, 0.07982824683610085, -0.40944263495274286]",123,123,0.089040291
NLLS,"[2.5125549858026774, -0.03840899962550049, 0.11411518514667952, -0.2796242928155823, 0.06764705191695816, -0.36975335240099294]",16,16,0.102099708
